Steps	Token	MedianRank	MeanSurprisal	StdevSurprisal	Accuracy	NumExamples
0	constraint	7480	14.581974029541016		0.0	1
0	exploring	9474	14.7213716506958		0.0	1
0	of	142	13.217982292175291	0.3590658009052276	0.0	512
0	the	27912	16.01385498046875	0.3867495357990265	0.0	512
20000	constraint	2790	16.84204864501953		0.0	1
20000	exploring	24	7.533591747283935		0.0	1
20000	of	0	0.9310908913612366	1.5271354913711548	0.84375	512
20000	the	0	0.837475597858429	1.169996976852417	0.873046875	512
40000	constraint	1917	16.21406364440918		0.0	1
40000	exploring	5	5.234347343444824		0.0	1
40000	of	0	0.7877819538116455	1.518271803855896	0.84765625	512
40000	the	0	0.6499572396278381	1.06321382522583	0.880859375	512
60000	constraint	3539	18.022705078125		0.0	1
60000	exploring	23	7.1330742835998535		0.0	1
60000	of	0	0.6509015560150146	1.4030073881149292	0.888671875	512
60000	the	0	0.625523030757904	1.0332735776901243	0.88671875	512
80000	constraint	4115	18.525161743164062		0.0	1
80000	exploring	52	8.878053665161133		0.0	1
80000	of	0	0.6071293950080872	1.3426592350006104	0.912109375	512
80000	the	0	0.5500670671463013	1.0318338871002195	0.896484375	512
100000	constraint	1564	14.965991973876951		0.0	1
100000	exploring	55	8.955324172973633		0.0	1
100000	of	0	0.5351381897926331	1.2754141092300415	0.912109375	512
100000	the	0	0.576426088809967	0.96883887052536	0.884765625	512
120000	constraint	1591	15.940936088562012		0.0	1
120000	exploring	45	8.638303756713867		0.0	1
120000	of	0	0.5064670443534851	1.239001750946045	0.921875	512
120000	the	0	0.571972668170929	1.1203182935714722	0.90625	512
140000	constraint	2198	16.96904182434082		0.0	1
140000	exploring	30	8.008393287658691		0.0	1
140000	of	0	0.4309854805469513	1.1171168088912964	0.927734375	512
140000	the	0	0.5826172828674316	1.097081422805786	0.88671875	512
160000	constraint	1273	15.497222900390623		0.0	1
160000	exploring	6	5.751020908355713		0.0	1
160000	of	0	0.4429657757282257	1.0855097770690918	0.931640625	512
160000	the	0	0.5477381944656372	1.022504210472107	0.888671875	512
180000	constraint	1634	16.29335594177246		0.0	1
180000	exploring	18	6.972372055053711		0.0	1
180000	of	0	0.5069745779037476	1.2274261713027954	0.921875	512
180000	the	0	0.5757588744163513	1.077236294746399	0.890625	512
200000	constraint	842	14.673226356506348		0.0	1
200000	exploring	14	6.687136650085449		0.0	1
200000	of	0	0.4080037176609039	1.1695152521133425	0.931640625	512
200000	the	0	0.5433415174484253	1.0696001052856443	0.890625	512
300000	constraint	1061	15.208754539489746		0.0	1
300000	exploring	35	8.925179481506348		0.0	1
300000	of	0	0.371000736951828	1.0402668714523315	0.94140625	512
300000	the	0	0.4931129813194275	1.0074462890625	0.904296875	512
400000	constraint	2227	17.747577667236328		0.0	1
400000	exploring	22	7.435819625854492		0.0	1
400000	of	0	0.3922586441040039	1.1016737222671509	0.93359375	512
400000	the	0	0.4519115686416626	0.97644305229187	0.91796875	512
500000	constraint	1419	15.921570777893066		0.0	1
500000	exploring	134	11.706046104431152		0.0	1
500000	of	0	0.3693895936012268	1.122130274772644	0.947265625	512
500000	the	0	0.4520847201347351	0.9985467791557312	0.919921875	512
600000	constraint	871	14.526789665222168		0.0	1
600000	exploring	64	10.66222095489502		0.0	1
600000	of	0	0.3355982303619385	1.0313634872436523	0.943359375	512
600000	the	0	0.4125923812389374	0.931541919708252	0.921875	512
700000	constraint	1196	15.712272644042969		0.0	1
700000	exploring	54	9.72184944152832		0.0	1
700000	of	0	0.3303759694099426	1.0023963451385498	0.9453125	512
700000	the	0	0.3761583864688873	0.9355836510658264	0.935546875	512
800000	constraint	1053	15.124356269836426		0.0	1
800000	exploring	19	7.4970550537109375		0.0	1
800000	of	0	0.2991651892662048	0.911821186542511	0.951171875	512
800000	the	0	0.4497544765472412	1.005318284034729	0.90234375	512
900000	constraint	921	14.681122779846191		0.0	1
900000	exploring	53	9.943962097167969		0.0	1
900000	of	0	0.3237819671630859	0.9413586854934692	0.943359375	512
900000	the	0	0.3992004990577698	0.9059534668922424	0.923828125	512
1000000	constraint	586	13.68905258178711		0.0	1
1000000	exploring	29	8.7249174118042		0.0	1
1000000	of	0	0.3050078153610229	0.8907609581947327	0.943359375	512
1000000	the	0	0.3999353945255279	0.9128817319869996	0.919921875	512
1100000	constraint	1042	15.368380546569824		0.0	1
1100000	exploring	39	9.087479591369627		0.0	1
1100000	of	0	0.3136071264743805	1.017543077468872	0.947265625	512
1100000	the	0	0.3565763831138611	0.9479160308837892	0.931640625	512
1200000	constraint	1102	16.018386840820312		0.0	1
1200000	exploring	53	10.344188690185549		0.0	1
1200000	of	0	0.33116215467453	1.0302164554595947	0.947265625	512
1200000	the	0	0.3707907795906067	0.8962075114250183	0.9296875	512
1300000	constraint	1345	16.004413604736328		0.0	1
1300000	exploring	106	12.731293678283691		0.0	1
1300000	of	0	0.3416097164154053	1.0931963920593262	0.939453125	512
1300000	the	0	0.3891961574554443	0.9015032649040222	0.923828125	512
1400000	constraint	785	14.763416290283203		0.0	1
1400000	exploring	46	9.824238777160645		0.0	1
1400000	of	0	0.3412747979164123	1.128430962562561	0.943359375	512
1400000	the	0	0.3963015377521515	0.992989420890808	0.923828125	512
1500000	constraint	824	15.16174602508545		0.0	1
1500000	exploring	36	9.020928382873535		0.0	1
1500000	of	0	0.3158280551433563	1.167405366897583	0.953125	512
1500000	the	0	0.4104612469673157	1.013007640838623	0.916015625	512
1600000	constraint	734	14.604033470153809		0.0	1
1600000	exploring	67	10.644539833068848		0.0	1
