Steps	Token	MedianRank	MeanSurprisal	StdevSurprisal	MeanNegSurprisal	StdevNegSurprisal	Accuracy	NumExamples
0	absorption	5185	14.3963623046875	nan	14.15756893157959	nan	0.0	1
0	alongside	9088	14.647703170776367	0.4599984586238861	14.818507194519043	0.48621001839637756	0.0	15
0	and	18282	15.292875289916992	0.3678750693798065	15.267353057861328	0.35313892364501953	0.0	512
0	are	12848	14.872415542602539	0.3718259036540985	14.868351936340332	0.40430954098701477	0.0	420
0	at	11759	14.919767379760742	0.3649761378765106	14.932220458984375	0.3739282786846161	0.0	512
0	chariot	7045	14.610897064208984	0.08572669327259064	14.973600387573242	0.10448574274778366	0.0	2
0	charted	18506	15.543203353881836	0.4017552137374878	14.998964309692383	0.16036640107631683	0.0	2
0	competitors	24939	15.563370704650879	0.4768138825893402	15.848155975341797	0.13307735323905945	0.0	3
0	era	22200	15.560240745544434	0.3207119107246399	15.739466667175293	0.30678728222846985	0.0	52
0	farms	13487	15.150890350341797	0.3592224717140198	15.404842376708984	0.3487423062324524	0.0	3
0	flaw	12103	15.013957977294922	0.17856642603874207	15.289531707763672	0.07115130126476288	0.0	2
0	fled	14307	15.110347747802734	0.3708784282207489	15.189090728759766	0.5859622955322266	0.0	4
0	fleet	14579	15.007335662841797	0.5512872934341431	15.233084678649902	0.4830661714076996	0.0	44
0	he	22202	15.437853813171387	0.31091758608818054	15.372539520263672	0.3659086227416992	0.0	512
0	high	25463	15.727206230163574	0.35990720987319946	15.712727546691895	0.38450250029563904	0.0	120
0	hosts	4861	14.286702156066895	0.4758422076702118	14.434494972229004	0.5342930555343628	0.0	7
0	in	24964	15.708020210266113	0.36486637592315674	15.755217552185059	0.38038408756256104	0.0	512
0	introduce	11596	14.855186462402344	nan	14.692928314208984	nan	0.0	1
0	is	24910	15.736416816711426	0.40230071544647217	15.72637939453125	0.35425299406051636	0.0	512
0	korean	17754	15.209094047546387	0.41431573033332825	15.126123428344727	0.45543497800827026	0.0	70
0	migrated	4224	14.309110641479492	nan	14.575568199157715	nan	0.0	1
0	named	4860	14.367731094360352	0.3623715341091156	14.39318561553955	0.31924763321876526	0.0	80
0	on	24436	15.620134353637695	0.4695222079753876	15.622411727905273	0.46934130787849426	0.0	512
0	ought	9560	15.028100967407227	0.4317718744277954	14.962440490722656	0.3680303394794464	0.0	2
0	parliamentary	12269	14.895493507385254	nan	14.975202560424805	nan	0.0	1
0	rush	4596	14.572358131408691	0.3140948414802551	14.662093162536621	0.8849697113037109	0.0	4
0	satisfied	13827	15.240903854370117	0.361469566822052	15.688939094543457	0.19018006324768066	0.0	2
0	screened	23039	15.55433464050293	nan	15.155795097351074	nan	0.0	1
0	seizure	23146	15.557809829711914	nan	15.750200271606445	nan	0.0	1
0	stitches	10306	14.773707389831543	nan	16.271074295043945	nan	0.0	1
0	straight	15460	15.017362594604492	0.41237205266952515	14.924116134643555	0.43910446763038635	0.0	30
0	sung	27253	15.948856353759766	0.00660255691036582	15.963550567626953	0.02224477007985115	0.0	2
0	television	13989	15.044088363647461	0.3794986605644226	14.937241554260254	0.35765063762664795	0.0	29
0	temporarily	21412	15.362027168273926	0.29698216915130615	15.52999496459961	0.3891335129737854	0.0	11
0	to	10174	14.752070426940918	0.3414154052734375	14.721877098083496	0.31502771377563477	0.0	512
0	translation	29662	16.331579208374023	0.2747676372528076	15.961662292480469	0.4501301944255829	0.0	3
0	tripped	8948	14.687098503112793	nan	15.195934295654297	nan	0.0	1
0	und	14389	15.08149528503418	0.3786967098712921	14.912775039672852	0.43757736682891846	0.0	14
0	was	17127	15.202381134033203	0.3481103777885437	15.177230834960938	0.33054471015930176	0.0	512
0	were	1185	13.8336181640625	0.48867660760879517	13.78911304473877	0.4641595780849457	0.0	512
20000	absorption	28	7.8327741622924805	nan	26.718233108520508	nan	0.0	1
20000	alongside	22	7.769119739532471	3.348963737487793	17.943025588989258	4.776110649108887	0.06666667014360428	15
20000	and	0	2.048421859741211	2.001534938812256	12.00576400756836	3.932659149169922	0.61328125	512
20000	are	0	1.9260667562484741	2.26758074760437	15.556039810180664	4.570152282714844	0.6190476417541504	420
20000	at	0	2.3961708545684814	2.410501480102539	14.303947448730469	4.518654823303223	0.5625	512
20000	chariot	185	10.953490257263184	0.6756443381309509	18.921205520629883	0.8003693222999573	0.0	2
20000	charted	1	3.113370418548584	1.5825475454330444	17.568206787109375	5.354504108428955	0.0	2
20000	competitors	65	9.105268478393555	1.5519896745681763	21.4312686920166	5.116981029510498	0.0	3
20000	era	10	7.297420024871826	4.120371341705322	16.842212677001953	6.393340110778809	0.11538461595773697	52
20000	farms	607	10.684123039245605	3.2531049251556396	20.524240493774414	1.832290530204773	0.0	3
20000	flaw	120	11.991947174072266	2.9468584060668945	21.24361801147461	0.6171404719352722	0.0	2
20000	fled	13	6.831905364990234	1.8417563438415527	22.630088806152344	2.6121580600738525	0.0	4
20000	fleet	4	5.6200151443481445	3.22019362449646	17.502182006835938	6.072935581207275	0.15909090638160706	44
20000	he	0	1.6855523586273193	2.2122440338134766	14.977828025817871	4.581577777862549	0.751953125	512
20000	high	3	5.4481587409973145	3.735172748565674	15.811250686645508	5.2531585693359375	0.2916666567325592	120
20000	hosts	2	4.722832679748535	2.4451396465301514	16.149635314941406	3.180933713912964	0.1428571492433548	7
20000	in	0	2.0126874446868896	2.1992950439453125	12.285188674926758	4.512147426605225	0.6328125	512
20000	introduce	87	8.77100944519043	nan	24.02044105529785	nan	0.0	1
