Steps	Token	MedianRank	MeanSurprisal	StdevSurprisal	Accuracy	NumExamples
0	constraint	7480	14.581974029541016	nan	0.0	1
0	exploring	9474	14.7213716506958	nan	0.0	1
0	of	130	13.210047721862793	0.35382407903671265	0.0	512
0	the	27966	16.02155113220215	0.39965224266052246	0.0	512
20000	constraint	2790	16.84204864501953	nan	0.0	1
20000	exploring	24	7.5335917472839355	nan	0.0	1
20000	of	0	0.9793087840080261	1.6260128021240234	0.83984375	512
20000	the	0	0.8059796094894409	1.1109222173690796	0.865234375	512
40000	constraint	1917	16.21406364440918	nan	0.0	1
40000	exploring	5	5.234347343444824	nan	0.0	1
40000	of	0	0.825229287147522	1.5753506422042847	0.8515625	512
40000	the	0	0.6185005903244019	0.9956456422805786	0.904296875	512
60000	constraint	3539	18.022705078125	nan	0.0	1
60000	exploring	23	7.1330742835998535	nan	0.0	1
60000	of	0	0.6843183040618896	1.4081799983978271	0.87890625	512
60000	the	0	0.604761004447937	1.032667875289917	0.8984375	512
80000	constraint	4115	18.525161743164062	nan	0.0	1
80000	exploring	52	8.878053665161133	nan	0.0	1
80000	of	0	0.636515200138092	1.3565644025802612	0.8984375	512
80000	the	0	0.49981608986854553	0.9030448794364929	0.904296875	512
100000	constraint	1564	14.965991973876953	nan	0.0	1
100000	exploring	55	8.955324172973633	nan	0.0	1
100000	of	0	0.5643309950828552	1.2525715827941895	0.90625	512
100000	the	0	0.5462422370910645	0.9005182981491089	0.88671875	512
120000	constraint	1591	15.940936088562012	nan	0.0	1
120000	exploring	45	8.638303756713867	nan	0.0	1
120000	of	0	0.525348961353302	1.1807804107666016	0.9140625	512
120000	the	0	0.5304612517356873	1.0342353582382202	0.90234375	512
140000	constraint	2198	16.96904182434082	nan	0.0	1
140000	exploring	30	8.008393287658691	nan	0.0	1
140000	of	0	0.4481116235256195	1.0972836017608643	0.923828125	512
140000	the	0	0.550468921661377	1.0028457641601562	0.89453125	512
160000	constraint	1273	15.497222900390625	nan	0.0	1
160000	exploring	6	5.751020908355713	nan	0.0	1
160000	of	0	0.48864567279815674	1.1613726615905762	0.919921875	512
160000	the	0	0.5158244967460632	0.9645248055458069	0.90234375	512
180000	constraint	1634	16.29335594177246	nan	0.0	1
180000	exploring	18	6.972372055053711	nan	0.0	1
180000	of	0	0.5513569116592407	1.2525486946105957	0.912109375	512
180000	the	0	0.5367769002914429	1.0153694152832031	0.90625	512
200000	constraint	842	14.673226356506348	nan	0.0	1
200000	exploring	14	6.687136650085449	nan	0.0	1
200000	of	0	0.41880887746810913	1.146206021308899	0.9296875	512
200000	the	0	0.5270922780036926	1.0289502143859863	0.88671875	512
300000	constraint	1061	15.208754539489746	nan	0.0	1
300000	exploring	35	8.925179481506348	nan	0.0	1
300000	of	0	0.3505204916000366	0.9835277199745178	0.947265625	512
300000	the	0	0.4811277389526367	0.9334309697151184	0.904296875	512
400000	constraint	2227	17.747577667236328	nan	0.0	1
400000	exploring	22	7.435819625854492	nan	0.0	1
400000	of	0	0.3937724828720093	1.081338882446289	0.931640625	512
400000	the	0	0.4401930868625641	0.9398418068885803	0.921875	512
500000	constraint	1419	15.921570777893066	nan	0.0	1
500000	exploring	134	11.706046104431152	nan	0.0	1
500000	of	0	0.3585902154445648	0.9983450174331665	0.93359375	512
500000	the	0	0.4374264180660248	0.9432355165481567	0.921875	512
600000	constraint	871	14.526789665222168	nan	0.0	1
600000	exploring	64	10.66222095489502	nan	0.0	1
600000	of	0	0.3341687321662903	0.9942126870155334	0.94140625	512
600000	the	0	0.4380035400390625	0.9960387349128723	0.92578125	512
700000	constraint	1196	15.712272644042969	nan	0.0	1
700000	exploring	54	9.72184944152832	nan	0.0	1
700000	of	0	0.31813913583755493	0.9517205357551575	0.943359375	512
700000	the	0	0.37722402811050415	0.9273838400840759	0.93359375	512
800000	constraint	1053	15.124356269836426	nan	0.0	1
800000	exploring	19	7.4970550537109375	nan	0.0	1
800000	of	0	0.31835824251174927	0.9300100207328796	0.943359375	512
800000	the	0	0.45441317558288574	1.012890338897705	0.912109375	512
900000	constraint	921	14.681122779846191	nan	0.0	1
900000	exploring	53	9.943962097167969	nan	0.0	1
900000	of	0	0.3293401002883911	0.9372344613075256	0.939453125	512
900000	the	0	0.3988204300403595	0.8932325839996338	0.927734375	512
1000000	constraint	586	13.68905258178711	nan	0.0	1
1000000	exploring	29	8.7249174118042	nan	0.0	1
1000000	of	0	0.3141928017139435	0.9189092516899109	0.93359375	512
1000000	the	0	0.3714706301689148	0.8311339616775513	0.9296875	512
1100000	constraint	1042	15.368380546569824	nan	0.0	1
1100000	exploring	39	9.087479591369629	nan	0.0	1
1100000	of	0	0.3267245292663574	1.0251061916351318	0.93359375	512
1100000	the	0	0.37072089314460754	0.9271697998046875	0.92578125	512
1200000	constraint	1102	16.018386840820312	nan	0.0	1
1200000	exploring	53	10.344188690185547	nan	0.0	1
1200000	of	0	0.31485122442245483	0.953658938407898	0.947265625	512
1200000	the	0	0.40023043751716614	0.9502630233764648	0.92578125	512
1300000	constraint	1345	16.004413604736328	nan	0.0	1
1300000	exploring	106	12.731293678283691	nan	0.0	1
1300000	of	0	0.3254142999649048	1.0273144245147705	0.94140625	512
1300000	the	0	0.4041329324245453	0.8861045837402344	0.919921875	512
1400000	constraint	785	14.763416290283203	nan	0.0	1
1400000	exploring	46	9.824238777160645	nan	0.0	1
1400000	of	0	0.3225257694721222	1.0148063898086548	0.943359375	512
1400000	the	0	0.41355401277542114	0.9864784479141235	0.919921875	512
1500000	constraint	824	15.16174602508545	nan	0.0	1
1500000	exploring	36	9.020928382873535	nan	0.0	1
1500000	of	0	0.30124279856681824	1.0187361240386963	0.951171875	512
1500000	the	0	0.39263755083084106	0.9118277430534363	0.916015625	512
1600000	constraint	734	14.604033470153809	nan	0.0	1
1600000	exploring	67	10.644539833068848	nan	0.0	1
1600000	of	0	0.31008434295654297	1.0027692317962646	0.951171875	512
1600000	the	0	0.3966919779777527	0.9207828640937805	0.916015625	512
1700000	constraint	1059	15.897468566894531	nan	0.0	1
1700000	exploring	42	9.378308296203613	nan	0.0	1
1700000	of	0	0.32172369956970215	1.0583219528198242	0.947265625	512
1700000	the	0	0.3981058597564697	0.9180508255958557	0.92578125	512
1800000	constraint	667	14.439178466796875	nan	0.0	1
1800000	exploring	43	9.506799697875977	nan	0.0	1
1800000	of	0	0.32011398673057556	1.0224485397338867	0.9453125	512
1800000	the	0	0.3989015817642212	0.9365345239639282	0.91796875	512
1900000	constraint	708	14.513482093811035	nan	0.0	1
1900000	exploring	60	10.449548721313477	nan	0.0	1
1900000	of	0	0.3040316104888916	0.9997971057891846	0.951171875	512
1900000	the	0	0.3998093008995056	0.9429527521133423	0.91796875	512
2000000	constraint	728	14.549789428710938	nan	0.0	1
2000000	exploring	56	10.402106285095215	nan	0.0	1
2000000	of	0	0.3077348470687866	1.0170191526412964	0.953125	512
2000000	the	0	0.39947769045829773	0.942589521408081	0.92578125	512
