Steps	Token	MedianRank	MeanSurprisal	StdevSurprisal	MeanNegSurprisal	StdevNegSurprisal	Accuracy	NumExamples
0	a	3931	14.230512619018555	0.3381764590740204	14.20848560333252	0.37466591596603394	0.0	512
0	by	27918	16.03538703918457	0.4491172134876251	16.06129264831543	0.4100687801837921	0.0	512
0	constraint	7480	14.5819730758667	nan	15.040940284729004	nan	0.0	1
0	exploring	9474	14.721372604370117	nan	14.324333190917969	nan	0.0	1
0	fined	15770	15.09684944152832	nan	14.124846458435059	nan	0.0	1
0	of	149	13.219293594360352	0.35975363850593567	13.198989868164062	0.37515518069267273	0.0	512
0	sob	26381	15.841504096984863	nan	15.482756614685059	nan	0.0	1
0	the	28132	16.037044525146484	0.40400227904319763	16.01959991455078	0.39588209986686707	0.0	512
0	variable	14879	15.04543399810791	nan	14.522275924682617	nan	0.0	1
0	with	26524	15.912748336791992	0.38277533650398254	15.89001178741455	0.3954660892486572	0.0	512
20000	a	0	1.668647289276123	1.9062998294830322	14.616504669189453	4.980308532714844	0.638671875	512
20000	by	1	2.809722900390625	2.9486565589904785	15.033703804016113	4.285073280334473	0.478515625	512
20000	constraint	2790	16.842044830322266	nan	26.2961483001709	nan	0.0	1
20000	exploring	24	7.5335893630981445	nan	17.327669143676758	nan	0.0	1
20000	fined	5	5.391898155212402	nan	26.88984489440918	nan	0.0	1
20000	of	0	0.9517508745193481	1.578019380569458	13.737020492553711	4.683587551116943	0.83984375	512
20000	sob	2648	15.69074821472168	nan	16.755006790161133	nan	0.0	1
20000	the	0	0.7974988222122192	1.1124813556671143	12.381210327148438	4.883188247680664	0.8828125	512
20000	variable	1046	13.61163330078125	nan	16.562936782836914	nan	0.0	1
20000	with	1	3.001119375228882	2.3109405040740967	14.491815567016602	4.856611728668213	0.44140625	512
40000	a	0	1.2234104871749878	1.8151659965515137	15.925488471984863	5.141066074371338	0.744140625	512
40000	by	0	1.8099281787872314	2.512820243835449	16.37995147705078	4.934411525726318	0.630859375	512
40000	constraint	1917	16.21406364440918	nan	29.572296142578125	nan	0.0	1
40000	exploring	5	5.234354496002197	nan	17.317691802978516	nan	0.0	1
40000	fined	0	1.1632013320922852	nan	23.40995216369629	nan	1.0	1
40000	of	0	0.7312622666358948	1.3885562419891357	15.091909408569336	4.678918838500977	0.85546875	512
40000	sob	2969	15.644383430480957	nan	21.155689239501953	nan	0.0	1
40000	the	0	0.6299265623092651	0.9990415573120117	13.862048149108887	5.385696887969971	0.904296875	512
40000	variable	3909	16.934526443481445	nan	23.078153610229492	nan	0.0	1
40000	with	0	2.155982494354248	2.2674500942230225	15.870084762573242	5.247254371643066	0.607421875	512
60000	a	0	1.1501998901367188	1.6940239667892456	16.318105697631836	5.232973575592041	0.73828125	512
60000	by	0	1.486936092376709	2.2796261310577393	16.472877502441406	5.049248695373535	0.71484375	512
60000	constraint	3539	18.022703170776367	nan	29.837310791015625	nan	0.0	1
